name,company,website_visits,pages_viewed,time_spent,email_opens,demo_requested,converted
Kaitlyn Vasquez,Morales-Cohen,19,10,457,3,0,1
Dr. Terry Smith,"Norton, Larsen and Carlson",27,3,207,5,1,1
Michael Ponce,Warren PLC,9,3,151,5,0,0
Mark Harrison,Gibbs Inc,26,15,90,4,0,0
Mr. Jeremy Greene Jr.,"Brandt, Russell and Brown",25,9,346,4,0,1
Mackenzie Allen,Washington LLC,17,7,372,5,0,1
Paul Fuller,Davis LLC,32,12,487,1,1,1
Susan Shields,"Meyer, Shaw and Nielsen",30,14,495,3,0,1
Mary Garcia,Farmer-Deleon,8,11,399,6,0,1
Allison Erickson,"Ramirez, Nelson and Phillips",35,16,75,8,0,0
Gerald Torres,"Hanson, Griffin and Rivas",29,2,50,0,0,0
Kathy Taylor,Walker LLC,2,7,388,3,1,1
Michelle Hernandez,"Simmons, Martinez and Patton",8,15,90,6,0,0
Adam Reyes,Espinoza-Smith,33,13,262,0,0,1
Tanya Jones,Davis LLC,22,18,28,8,1,0
Joseph Martin,Richardson PLC,11,16,250,4,0,1
Michael Patton,Bryant-Parker,17,13,115,8,0,0
Jon Vasquez,"Jones, Smith and Morrison",15,19,403,4,1,1
Brian Shannon,Foster LLC,49,6,261,9,1,1
Courtney Blankenship,Riley-Rodriguez,26,7,199,7,0,1
Alicia Bradshaw DDS,Peterson-Davis,34,16,385,7,0,1
Anthony Thomas,Shelton LLC,29,4,489,2,0,1
Eric Mcintosh,Jackson and Sons,3,11,61,8,0,0
Jeffery Sawyer,Carroll Ltd,39,11,443,9,0,1
Johnny Avila,"Gray, Ortiz and Welch",11,6,52,8,0,0
Katelyn Duncan,Turner-Moran,36,9,167,5,0,1
William Wong,Nguyen Inc,48,3,86,8,0,0
Vanessa Rowland,Roth LLC,41,2,92,5,0,0
Regina Davila,"Calderon, Hernandez and Calderon",13,17,50,5,0,0
Dr. Howard Torres,"Flores, Mclean and Lawson",33,5,50,8,0,0
Paula Kelley,Bullock-Santana,29,2,457,7,0,1
Javier Arnold,Johnson Inc,24,11,37,1,0,0
Kayla Gibbs,Mejia PLC,15,12,300,5,1,1
Brian Donovan,Jones-Cabrera,47,13,219,8,1,1
Dennis Ayers,Hart and Sons,37,3,238,6,0,1
Mary Jimenez,Downs-Cowan,24,13,419,1,0,1
Adrienne Collins,Anderson-Shaw,6,8,244,7,0,1
Brandy Terry,Bennett-Stephenson,3,5,256,6,1,1
Laurie Patel,"Richardson, Blackwell and Neal",19,12,138,0,0,0
Ebony Watson,"Mayer, Chavez and Powers",39,3,353,1,0,1
Gail Henderson,"Snyder, Hunt and Bentley",11,12,471,2,0,1
Ariana Dodson,Obrien-Rivera,8,19,231,3,0,1
Carla Paul,Nelson Ltd,22,12,261,6,0,1
Daniel Nguyen,Ward Group,11,19,115,0,0,0
Renee Friedman,"Walker, Garcia and Howard",1,5,45,3,0,0
Cristina Shaw,Jones LLC,2,15,108,9,0,0
Jasmine Barrett,"Anderson, Parrish and Morse",19,18,497,9,0,1
Garrett Pham,Lopez and Sons,49,1,102,6,0,0
Kendra Jones,Gordon and Sons,18,15,55,6,0,0
James Vargas,Lee-Johnson,3,3,478,3,0,1
Ms. Margaret Rich,"Fisher, Bowman and Sanders",2,16,375,6,0,1
Donna King,Haynes-Smith,9,17,456,5,1,1
Ryan Nelson,Powell-Conley,12,6,63,8,0,0
Jessica Harper,"Tucker, Schultz and Vasquez",49,18,76,1,0,0
Patrick Johnson,Andrade and Sons,18,4,155,5,0,0
Nathan Moon,"Sullivan, Ferguson and Jackson",8,3,487,4,1,1
Darren Freeman,Spencer and Sons,33,19,355,9,0,1
Eugene Gibson,Contreras Ltd,40,16,187,5,1,1
Lori Moore,Harrison PLC,4,10,442,9,0,1
Thomas Blackburn,Cummings PLC,25,17,294,3,0,1
Nathan Martinez,Walker-Brown,28,5,332,8,0,1
Austin Johnson,"Ochoa, Miller and Hendricks",4,10,105,3,0,0
Christopher Bennett,Price Group,42,17,97,3,0,0
Juan Rivera,Carter-Gilbert,6,9,414,5,1,1
Paul Davis,"House, Marks and Chapman",29,9,34,6,1,0
Amy Anderson,Kelly-Miller,30,15,45,6,0,0
Veronica Williams,Hernandez-Lopez,12,5,384,8,0,1
Gregg Doyle,"Watkins, Fry and Walker",1,14,416,4,0,1
Oscar Sanchez,Hamilton-Knight,6,13,328,0,0,1
Rebecca King,"Henson, Booth and Harrington",24,3,447,0,0,1
Jennifer Castillo,Chen and Sons,41,9,169,8,0,1
Victoria Brown,Chavez and Sons,7,15,146,5,0,0
Sydney Rice,Wilson-Allen,23,9,140,4,0,0
Pamela Romero,Wagner and Sons,3,1,89,7,0,0
John Gonzales,Morse-Butler,6,17,292,5,0,1
Rachael Glass,Barrett-Riddle,21,11,19,6,0,0
Jasmine Higgins,David Inc,35,6,283,9,0,1
Ann Brock,"Massey, Rowland and Lucero",14,2,388,7,1,1
Timothy Underwood,Calderon-Hahn,21,14,440,2,0,1
Michelle Carroll,Franklin Group,25,5,128,4,0,0
Cesar Crawford,Owen-Phillips,10,11,241,2,0,1
Alice Thompson,"Olsen, Williams and Hill",16,4,237,2,0,1
Kathleen Austin,Young Group,28,16,353,8,0,1
Fred Colon,Luna Inc,37,1,320,8,0,1
Bryan Hall,Leonard-Smith,31,15,47,1,0,0
Adrian Brooks,Wong and Sons,21,12,198,9,0,1
Jennifer Thompson,Hunt LLC,26,18,413,8,0,1
Eric Smith,"Turner, Ferguson and Green",5,7,190,9,1,1
Nancy Williams,Ward Group,17,6,444,6,0,1
Lisa Reyes,Brown Ltd,24,14,105,1,0,0
Kari Guzman,Ruiz-Sanchez,26,7,244,6,0,1
Krista Jones,Thompson-Garcia,3,16,172,5,0,0
Stephanie Yoder,Macdonald-Summers,34,8,265,2,0,1
James Burke,Bennett PLC,16,4,244,1,1,1
Christopher Schmidt,Norris Ltd,1,19,375,4,0,1
Ann Gomez,Peterson Ltd,10,13,272,2,0,1
Erin Jensen,Sutton-Fry,17,10,227,4,0,1
Joel Duke,King-Williams,33,1,249,0,1,1
Cheryl Smith,Powell Ltd,40,15,235,7,0,1
Andrea Johnson,Ashley and Sons,26,13,145,3,1,1
Michael Rodriguez,Tucker and Sons,27,7,164,7,0,0
Mrs. Stephanie Armstrong,Davis Inc,5,10,263,3,0,1
Stephanie Gutierrez,"Brown, Nixon and Foster",30,6,321,9,0,1
Caroline Olson,Santos LLC,18,17,238,8,0,1
